Status,Course Name,Course Short Name,Category,Number of Seats,Instructor Name,Start Date,Start Time,End Time,Building,Room Number/Name,Address,Map Name,Description
,Ambulatory Surgical Physcian 200,AMB1015,EpicCare Ambulatory,10,#VALUE!,07/11/2015,01:00 PM,05:00 PM,SLH, Buchanan A," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Medical Physician 100,AMB1010,EpicCare Ambulatory,10,#VALUE!,07/11/2015,08:00 AM,12:00 PM,SLH, Buchanan B," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Medical Physician 200,AMB1011,EpicCare Ambulatory,10,#VALUE!,07/11/2015,01:00 PM,05:00 PM,SLH, Buchanan B," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Medical Physician 100,AMB1010,EpicCare Ambulatory,12,#VALUE!,07/11/2015,08:00 AM,12:00 PM,SLS, Training Room A," 12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Medical Physician 200,AMB1011,EpicCare Ambulatory,12,#VALUE!,07/11/2015,01:00 PM,05:00 PM,SLS, Training Room A," 12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Surgical Physcian 100,AMB1014,EpicCare Ambulatory,24,#VALUE!,07/11/2015,08:00 AM,12:00 PM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Surgical Physcian 200,AMB1015,EpicCare Ambulatory,24,#VALUE!,07/11/2015,01:00 PM,05:00 PM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Procedural Physician 100,AMB1012,EpicCare Ambulatory,12,#VALUE!,07/11/2015,08:00 AM,12:00 PM,SLS, IT Training Room,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Procedural Physician 200,AMB1013,EpicCare Ambulatory,12,#VALUE!,07/11/2015,01:00 PM,05:00 PM,SLS, IT Training Room,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Nurse 200,AMB1025,EpicCare Ambulatory,24,#VALUE!,07/11/2015,08:00 AM,12:00 PM,SLH, Plaza A," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Medical Physician 100,AMB1010,EpicCare Ambulatory,12,#VALUE!,07/11/2015,08:00 AM,12:00 PM,SLE, Longview," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory Medical Physician 200,AMB1011,EpicCare Ambulatory,12,#VALUE!,07/11/2015,01:00 PM,05:00 PM,SLE, Longview," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory LPN and MA 200,AMB1027,EpicCare Ambulatory,24,#VALUE!,07/11/2015,01:00 PM,05:00 PM,SLH, Plaza A," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory LPN and MA 200,AMB1027,EpicCare Ambulatory,12,#VALUE!,07/11/2015,08:00 AM,12:00 PM,SLE, Summit," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory Nurse 200,AMB1025,EpicCare Ambulatory,12,#VALUE!,07/11/2015,01:00 PM,05:00 PM,SLE, Summit," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Outpatient Infusion Nurse,ONC1003,Beacon,10,"CT2,, CT1",07/13/2015,08:00 AM,03:00 PM,SLH, Buchanan B," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Procedural Physician 200,AMB1013,EpicCare Ambulatory,10,#VALUE!,07/13/2015,06:00 PM,10:00 PM,SLH, Buchanan B," 4401 Wornall Road, Kansas City MO 64111",,
,PB Customer Service 100,RPB1008,Resolute PB,12,#VALUE!,07/13/2015,08:00 AM,12:00 PM,SLS, Training Room A," 12300 Metcalf Ave., Overland Park KS 66213",,
,PB Customer Service 100,RPB1008,Resolute PB,12,#VALUE!,07/13/2015,01:00 PM,05:00 PM,SLS, Training Room A," 12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Medical Physician 200,AMB1011,EpicCare Ambulatory,12,#VALUE!,07/13/2015,06:00 PM,10:00 PM,SLS, Training Room A," 12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Nurse 200,AMB1025,EpicCare Ambulatory,24,#VALUE!,07/13/2015,08:00 AM,12:00 PM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory LPN and MA 200,AMB1027,EpicCare Ambulatory,24,#VALUE!,07/13/2015,01:00 PM,05:00 PM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,PB Payment Poster 200,RPB1018,Resolute PB,12,#VALUE!,07/13/2015,08:00 AM,10:00 AM,SLS, IT Training Room,"  12300 Metcalf Ave., Overland Park KS 66213",,
,PB Payment Poster 200,RPB1018,Resolute PB,12,#VALUE!,07/13/2015,01:00 PM,03:00 PM,SLS, IT Training Room,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Cardiology Physician 200,AMB1017,EpicCare Ambulatory,12,#VALUE!,07/13/2015,06:00 PM,10:00 PM,SLS, IT Training Room,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory LPN and MA 200,AMB1027,EpicCare Ambulatory,24,#VALUE!,07/13/2015,08:00 AM,12:00 PM,SLH, Plaza A," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Nurse 200,AMB1025,EpicCare Ambulatory,24,#VALUE!,07/13/2015,01:00 PM,05:00 PM,SLH, Plaza A," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Surgical Physcian 100,AMB1014,EpicCare Ambulatory,12,#VALUE!,07/13/2015,01:00 PM,05:00 PM,SLE, Summit," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory Surgical Physcian 200,AMB1015,EpicCare Ambulatory,12,#VALUE!,07/13/2015,06:00 PM,10:00 PM,SLE, Summit," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory Surgical Physcian 200,AMB1015,EpicCare Ambulatory,8,#VALUE!,07/13/2015,01:00 PM,05:00 PM,SLN, Training Room A," 5800 NW Barry Road, Kansas City MO 64154",,
,Ambulatory Procedural Physician 200,AMB1013,EpicCare Ambulatory,8,#VALUE!,07/13/2015,06:00 PM,10:00 PM,SLN, Training Room A," 5800 NW Barry Road, Kansas City MO 64154",,
,Ambulatory LPN and MA 200,AMB1027,EpicCare Ambulatory,24,#VALUE!,07/13/2015,08:00 AM,12:00 PM,SLN, Training Room B," 5800 NW Barry Road, Kansas City MO 64154",,
,Ambulatory Nurse 200,AMB1025,EpicCare Ambulatory,24,#VALUE!,07/13/2015,01:00 PM,05:00 PM,SLN, Training Room B," 5800 NW Barry Road, Kansas City MO 64154",,
,Referral Users,AMB1007,Cadence,20,CT6,07/13/2015,12:00 PM,05:00 PM,SLN, Training Room C," 5800 NW Barry Road, Kansas City MO 64154",,
,PB Charge Review,RPB1001,Resolute PB,8,#VALUE!,07/13/2015,08:00 AM,11:00 AM,CORP, 4th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Charge Review,RPB1001,Resolute PB,8,#VALUE!,07/13/2015,10:00 AM,01:00 PM,CORP, 4th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Charge Review,RPB1001,Resolute PB,8,#VALUE!,07/13/2015,01:00 PM,04:00 PM,CORP, 4th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Charge Review,RPB1001,Resolute PB,8,#VALUE!,07/13/2015,03:00 PM,06:00 PM,CORP, 4th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Insurance Follow-Up 100,RPB1011,Resolute PB,8,#VALUE!,07/13/2015,07:00 AM,10:00 AM,CORP, 7th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Claims 200,RPB1007,Resolute PB,8,#VALUE!,07/13/2015,11:00 AM,12:00 PM,CORP, 7th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Claims 200,RPB1007,Resolute PB,8,#VALUE!,07/13/2015,01:00 PM,02:00 PM,CORP, 7th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Claims 200,RPB1007,Resolute PB,8,#VALUE!,07/13/2015,03:00 PM,04:00 PM,CORP, 7th Floor," 901 E. 104th St., Kansas City MO 64031",,
,Front Desk/HOD Desk 200,AMB1001,Cadence,24,CT3,07/13/2015,08:00 AM,05:00 PM,SLH, Plaza B," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Cardiology Physician 200,AMB1017,EpicCare Ambulatory,10,#VALUE!,07/14/2015,06:00 PM,10:00 PM,SLH, Buchanan A," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Medical Physician 100,AMB1010,EpicCare Ambulatory,10,#VALUE!,07/14/2015,01:00 PM,05:00 PM,SLH, Buchanan B," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Medical Physician 200,AMB1011,EpicCare Ambulatory,10,#VALUE!,07/14/2015,06:00 PM,10:00 PM,SLH, Buchanan B," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Medical Physician 100,AMB1010,EpicCare Ambulatory,12,#VALUE!,07/14/2015,08:00 AM,12:00 PM,SLS, Training Room A," 12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Medical Physician 200,AMB1011,EpicCare Ambulatory,12,#VALUE!,07/14/2015,01:00 PM,05:00 PM,SLS, Training Room A," 12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Procedural Physician 200,AMB1013,EpicCare Ambulatory,12,#VALUE!,07/14/2015,06:00 PM,10:00 PM,SLS, Training Room A," 12300 Metcalf Ave., Overland Park KS 66213",,
,PB Payment Poster 200,RPB1018,Resolute PB,24,#VALUE!,07/14/2015,08:00 AM,10:00 AM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,PB Payment Poster 200,RPB1018,Resolute PB,24,#VALUE!,07/14/2015,01:00 PM,03:00 PM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Template Builder,AMB1006,Cadence,12,CT4,07/14/2015,07:00 AM,12:30 PM,SLS, IT Training Room,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Auth/Cert 100,AMB1009,Cadence,12,CT4,07/14/2015,02:00 PM,04:00 PM,SLS, IT Training Room,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Nurse 200,AMB1025,EpicCare Ambulatory,24,#VALUE!,07/14/2015,08:00 AM,12:00 PM,SLH, Plaza A," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Medical Physician 100,AMB1010,EpicCare Ambulatory,12,#VALUE!,07/14/2015,08:00 AM,12:00 PM,SLE, Longview," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory Medical Physician 200,AMB1011,EpicCare Ambulatory,12,#VALUE!,07/14/2015,01:00 PM,05:00 PM,SLE, Longview," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory Cardiology Physician 200,AMB1017,EpicCare Ambulatory,12,#VALUE!,07/14/2015,06:00 PM,10:00 PM,SLE, Longview," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory LPN and MA 200,AMB1027,EpicCare Ambulatory,24,#VALUE!,07/14/2015,01:00 PM,05:00 PM,SLH, Plaza A," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Nurse 200,AMB1025,EpicCare Ambulatory,12,#VALUE!,07/14/2015,01:00 PM,05:00 PM,SLE, Summit," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory LPN and MA 200,AMB1027,EpicCare Ambulatory,12,#VALUE!,07/14/2015,06:00 PM,10:00 PM,SLE, Summit," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory Medical Physician 100,AMB1010,EpicCare Ambulatory,8,#VALUE!,07/14/2015,08:00 AM,12:00 PM,SLN, Training Room A," 5800 NW Barry Road, Kansas City MO 64154",,
,Ambulatory Medical Physician 200,AMB1011,EpicCare Ambulatory,8,#VALUE!,07/14/2015,01:00 PM,05:00 PM,SLN, Training Room A," 5800 NW Barry Road, Kansas City MO 64154",,
,Ambulatory Cardiology Physician 200,AMB1017,EpicCare Ambulatory,8,#VALUE!,07/14/2015,06:00 PM,10:00 PM,SLN, Training Room A," 5800 NW Barry Road, Kansas City MO 64154",,
,Ambulatory Nurse 200,AMB1025,EpicCare Ambulatory,24,#VALUE!,07/14/2015,08:00 AM,12:00 PM,SLN, Training Room B," 5800 NW Barry Road, Kansas City MO 64154",,
,Ambulatory LPN and MA 200,AMB1027,EpicCare Ambulatory,24,#VALUE!,07/14/2015,01:00 PM,05:00 PM,SLN, Training Room B," 5800 NW Barry Road, Kansas City MO 64154",,
,PB Claims 200,RPB1007,Resolute PB,8,#VALUE!,07/14/2015,07:00 AM,08:00 AM,CORP, 4th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Insurance Follow-Up 100,RPB1011,Resolute PB,8,#VALUE!,07/14/2015,09:00 AM,12:00 PM,CORP, 4th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Insurance Follow-Up 100,RPB1011,Resolute PB,8,#VALUE!,07/14/2015,01:00 PM,04:00 PM,CORP, 4th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Charge Entry 200,RPB1001,Resolute PB,8,#VALUE!,07/14/2015,01:00 PM,02:00 PM,CORP, 7th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Charge Entry 200,RPB1001,Resolute PB,8,#VALUE!,07/14/2015,03:00 PM,04:00 PM,CORP, 7th Floor," 901 E. 104th St., Kansas City MO 64031",,
,Referral Users,AMB1007,Cadence,24,CT3,07/14/2015,07:00 AM,12:00 PM,SLH, Plaza B," 4401 Wornall Road, Kansas City MO 64111",,
,Auth/Cert 100,AMB1009,Cadence,24,CT3,07/14/2015,01:00 PM,03:00 PM,SLH, Plaza B," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Clinic Manager,AMB1030,EpicCare Ambulatory,10,#VALUE!,07/15/2015,03:00 PM,05:00 PM,SLH, Buchanan A," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Cardiology Physician 200,AMB1017,EpicCare Ambulatory,10,#VALUE!,07/15/2015,06:00 PM,10:00 PM,SLH, Buchanan A," 4401 Wornall Road, Kansas City MO 64111",,
,Inpatient Infusion Nurse,ONC1004,Beacon,10,"CT2,, CT1",07/15/2015,07:00 AM,12:00 PM,SLH, Buchanan B," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Surgical Physcian 100,AMB1014,EpicCare Ambulatory,10,#VALUE!,07/15/2015,01:00 PM,05:00 PM,SLH, Buchanan B," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Surgical Physcian 200,AMB1015,EpicCare Ambulatory,10,#VALUE!,07/15/2015,06:00 PM,10:00 PM,SLH, Buchanan B," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Medical Physician 200,AMB1011,EpicCare Ambulatory,12,#VALUE!,07/15/2015,01:00 PM,05:00 PM,SLS, Training Room A," 12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Cardiology Physician 100,AMB1016,EpicCare Ambulatory,12,#VALUE!,07/15/2015,06:00 PM,10:00 PM,SLS, Training Room A," 12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Nurse 200,AMB1025,EpicCare Ambulatory,24,#VALUE!,07/15/2015,01:00 PM,05:00 PM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory LPN and MA 200,AMB1027,EpicCare Ambulatory,24,#VALUE!,07/15/2015,06:00 PM,10:00 PM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,PB Payment Poster 200,RPB1018,Resolute PB,12,#VALUE!,07/15/2015,08:00 AM,10:00 AM,SLS, IT Training Room,"  12300 Metcalf Ave., Overland Park KS 66213",,
,PB Payment Poster 200,RPB1018,Resolute PB,12,#VALUE!,07/15/2015,01:00 PM,03:00 PM,SLS, IT Training Room,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Obstetrics Physician 200,AMB1019,EpicCare Ambulatory,12,#VALUE!,07/15/2015,06:00 PM,10:00 PM,SLS, IT Training Room,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Referral Users,AMB1007,Cadence,12,CT5,07/15/2015,07:00 AM,12:00 PM,SLE, Longview," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory Surgical Physcian 200,AMB1015,EpicCare Ambulatory,12,#VALUE!,07/15/2015,01:00 PM,05:00 PM,SLE, Longview," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory Medical Physician 200,AMB1011,EpicCare Ambulatory,12,#VALUE!,07/15/2015,06:00 PM,10:00 PM,SLE, Longview," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory Nurse 200,AMB1025,EpicCare Ambulatory,12,#VALUE!,07/15/2015,08:00 AM,12:00 PM,SLE, Summit," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory LPN and MA 200,AMB1027,EpicCare Ambulatory,12,#VALUE!,07/15/2015,01:00 PM,05:00 PM,SLE, Summit," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory Clinic Manager,AMB1030,EpicCare Ambulatory,8,#VALUE!,07/15/2015,03:00 PM,05:00 PM,SLN, Training Room A," 5800 NW Barry Road, Kansas City MO 64154",,
,Ambulatory Medical Physician 200,AMB1011,EpicCare Ambulatory,8,#VALUE!,07/15/2015,06:00 PM,10:00 PM,SLN, Training Room A," 5800 NW Barry Road, Kansas City MO 64154",,
,Referral Users,AMB1007,Cadence,20,CT6,07/15/2015,07:00 AM,12:00 PM,SLN, Training Room C," 5800 NW Barry Road, Kansas City MO 64154",,
,PB Charge Entry 200,RPB1001,Resolute PB,8,#VALUE!,07/15/2015,10:00 AM,11:00 AM,CORP, 7th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Anesthesia Coding,RPB1002,Resolute PB,8,#VALUE!,07/15/2015,11:00 AM,11:30 AM,CORP, 7th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Charge Entry 200,RPB1001,Resolute PB,8,#VALUE!,07/15/2015,01:00 PM,02:00 PM,CORP, 7th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Anesthesia Coding,RPB1002,Resolute PB,8,#VALUE!,07/15/2015,02:00 PM,02:30 PM,CORP, 7th Floor," 901 E. 104th St., Kansas City MO 64031",,
,Template Builder,AMB1006,Cadence,24,CT3,07/15/2015,07:00 AM,12:30 PM,SLH, Plaza B," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Procedural Physician 100,AMB1012,EpicCare Ambulatory,10,#VALUE!,07/16/2015,01:00 PM,05:00 PM,SLH, Buchanan A," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Procedural Physician 200,AMB1013,EpicCare Ambulatory,10,#VALUE!,07/16/2015,06:00 PM,10:00 PM,SLH, Buchanan A," 4401 Wornall Road, Kansas City MO 64111",,
,Oncology Research Coordinator,ONC1007,Beacon,10,#VALUE!,07/16/2015,08:00 AM,12:00 PM,SLH, Buchanan B," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Obstetrics Physician 200,AMB1019,EpicCare Ambulatory,10,#VALUE!,07/16/2015,01:00 PM,05:00 PM,SLH, Buchanan B," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Medical Physician 200,AMB1011,EpicCare Ambulatory,10,#VALUE!,07/16/2015,06:00 PM,10:00 PM,SLH, Buchanan B," 4401 Wornall Road, Kansas City MO 64111",,
,PB Customer Service 100,RPB1008,Resolute PB,12,#VALUE!,07/16/2015,08:00 AM,12:00 PM,SLS, Training Room A," 12300 Metcalf Ave., Overland Park KS 66213",,
,PB Customer Service 100,RPB1008,Resolute PB,12,#VALUE!,07/16/2015,01:00 PM,05:00 PM,SLS, Training Room A," 12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Cardiology Physician 200,AMB1017,EpicCare Ambulatory,12,#VALUE!,07/16/2015,06:00 PM,10:00 PM,SLS, Training Room A," 12300 Metcalf Ave., Overland Park KS 66213",,
,PB Payment Poster 200,RPB1018,Resolute PB,24,#VALUE!,07/16/2015,08:00 AM,10:00 AM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,PB Payment Poster 200,RPB1018,Resolute PB,24,#VALUE!,07/16/2015,01:00 PM,03:00 PM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Referral Users,AMB1007,Cadence,12,CT4,07/16/2015,01:00 PM,06:00 PM,SLS, IT Training Room,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory LPN and MA 200,AMB1027,EpicCare Ambulatory,24,#VALUE!,07/16/2015,08:00 AM,12:00 PM,SLH, Plaza A," 4401 Wornall Road, Kansas City MO 64111",,
,Auth/Cert 100,AMB1009,Cadence,12,CT5,07/16/2015,09:00 AM,11:00 AM,SLE, Longview," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory Nurse 200,AMB1025,EpicCare Ambulatory,24,#VALUE!,07/16/2015,01:00 PM,05:00 PM,SLH, Plaza A," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Procedural Physician 100,AMB1012,EpicCare Ambulatory,12,#VALUE!,07/16/2015,01:00 PM,05:00 PM,SLE, Summit," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory Procedural Physician 200,AMB1013,EpicCare Ambulatory,12,#VALUE!,07/16/2015,06:00 PM,10:00 PM,SLE, Summit," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory Medical Physician 200,AMB1011,EpicCare Ambulatory,8,#VALUE!,07/16/2015,01:00 PM,05:00 PM,SLN, Training Room A," 5800 NW Barry Road, Kansas City MO 64154",,
,Ambulatory Cardiology Physician 200,AMB1017,EpicCare Ambulatory,8,#VALUE!,07/16/2015,06:00 PM,10:00 PM,SLN, Training Room A," 5800 NW Barry Road, Kansas City MO 64154",,
,Ambulatory LPN and MA 200,AMB1027,EpicCare Ambulatory,24,#VALUE!,07/16/2015,01:00 PM,05:00 PM,SLN, Training Room B," 5800 NW Barry Road, Kansas City MO 64154",,
,Ambulatory Nurse 200,AMB1025,EpicCare Ambulatory,24,#VALUE!,07/16/2015,06:00 PM,10:00 PM,SLN, Training Room B," 5800 NW Barry Road, Kansas City MO 64154",,
,Auth/Cert 100,AMB1009,Cadence,20,CT6,07/16/2015,08:00 AM,10:00 AM,SLN, Training Room C," 5800 NW Barry Road, Kansas City MO 64154",,
,PB Charge Review,RPB1001,Resolute PB,8,#VALUE!,07/16/2015,08:00 AM,11:00 AM,CORP, 7th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Charge Entry 200,RPB1001,Resolute PB,8,#VALUE!,07/16/2015,10:00 AM,11:00 AM,CORP, 7th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Anesthesia Coding,RPB1002,Resolute PB,8,#VALUE!,07/16/2015,11:00 AM,11:30 AM,CORP, 7th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Charge Review,RPB1001,Resolute PB,8,#VALUE!,07/16/2015,01:00 PM,04:00 PM,CORP, 7th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Charge Entry 200,RPB1001,Resolute PB,8,#VALUE!,07/16/2015,03:00 PM,04:00 PM,CORP, 7th Floor," 901 E. 104th St., Kansas City MO 64031",,
,Auth/Cert 100,AMB1009,Cadence,24,CT3,07/16/2015,10:00 AM,12:00 PM,SLH, Plaza B," 4401 Wornall Road, Kansas City MO 64111",,
,Financial Counselor,AMB1008,Cadence,24,CT3,07/16/2015,01:00 PM,04:00 PM,SLH, Plaza B," 4401 Wornall Road, Kansas City MO 64111",,
,Oncology Clinic Nurse,ONC1002,Beacon,10,"CT1,, CT2",07/17/2015,08:00 AM,04:00 PM,SLH, Buchanan B," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Clinic Manager,AMB1030,EpicCare Ambulatory,12,#VALUE!,07/17/2015,10:00 AM,12:00 PM,SLS, Training Room A," 12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Medical Physician 200,AMB1011,EpicCare Ambulatory,12,#VALUE!,07/17/2015,01:00 PM,05:00 PM,SLS, Training Room A," 12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Nurse 200,AMB1025,EpicCare Ambulatory,24,#VALUE!,07/17/2015,08:00 AM,12:00 PM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory LPN and MA 200,AMB1027,EpicCare Ambulatory,24,#VALUE!,07/17/2015,01:00 PM,05:00 PM,SLS, Training Room B,"  12300 Metcalf Ave., Overland Park KS 66213",,
,PB Payment Poster 200,RPB1018,Resolute PB,12,#VALUE!,07/17/2015,08:00 AM,10:00 AM,SLS, IT Training Room,"  12300 Metcalf Ave., Overland Park KS 66213",,
,PB Payment Poster 200,RPB1018,Resolute PB,12,#VALUE!,07/17/2015,01:00 PM,03:00 PM,SLS, IT Training Room,"  12300 Metcalf Ave., Overland Park KS 66213",,
,Ambulatory Medical Physician 100,AMB1010,EpicCare Ambulatory,12,#VALUE!,07/17/2015,08:00 AM,12:00 PM,SLE, Longview," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory Medical Physician 200,AMB1011,EpicCare Ambulatory,12,#VALUE!,07/17/2015,01:00 PM,05:00 PM,SLE, Longview," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory LPN and MA 200,AMB1027,EpicCare Ambulatory,12,#VALUE!,07/17/2015,08:00 AM,12:00 PM,SLE, Summit," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Ambulatory Nurse 200,AMB1025,EpicCare Ambulatory,12,#VALUE!,07/17/2015,01:00 PM,05:00 PM,SLE, Summit," 100 N. E. Saint Luke’s Blvd., Lee’s Summit MO 64086",,
,Referral Users,AMB1007,Cadence,20,CT6,07/17/2015,07:00 AM,12:00 PM,SLN, Training Room C," 5800 NW Barry Road, Kansas City MO 64154",,
,PB Insurance Follow-Up 100,RPB1011,Resolute PB,8,#VALUE!,07/17/2015,07:00 AM,10:00 AM,CORP, 4th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Insurance Follow-Up 100,RPB1011,Resolute PB,8,#VALUE!,07/17/2015,11:00 AM,02:00 PM,CORP, 4th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Insurance Follow-Up 100,RPB1011,Resolute PB,8,#VALUE!,07/17/2015,03:00 PM,06:00 PM,CORP, 4th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Charge Entry 200,RPB1001,Resolute PB,8,#VALUE!,07/17/2015,01:00 PM,02:00 PM,CORP, 7th Floor," 901 E. 104th St., Kansas City MO 64031",,
,PB Anesthesia Coding,RPB1002,Resolute PB,8,#VALUE!,07/17/2015,02:00 PM,02:30 PM,CORP, 7th Floor," 901 E. 104th St., Kansas City MO 64031",,
,Ambulatory Cardiology Physician 100,AMB1016,EpicCare Ambulatory,10,#VALUE!,07/18/2015,08:00 AM,12:00 PM,SLH, Buchanan A," 4401 Wornall Road, Kansas City MO 64111",,
,Ambulatory Cardiology Physician 200,AMB1017,EpicCare Ambulatory,10,#VALUE!,07/18/2015,01:00 PM,05:00 PM,SLH, Buchanan A," 4401 Wornall Road, Kansas City MO 64111",,
